MeasureID,Year,Geo-type,Geography ID,Value,Note
1197,2016,Citywide,1,"66,229","Asthma ED Visits (adults), Number"
1197,2016,Borough,1,"21,089","Asthma ED Visits (adults), Number"
1197,2016,Borough,2,"20,608","Asthma ED Visits (adults), Number"
1197,2016,Borough ,3,"12,872","Asthma ED Visits (adults), Number"
1197,2016,Borough,4,"9,598","Asthma ED Visits (adults), Number"
1197,2016,Borough,5,"2,062","Asthma ED Visits (adults), Number"
1197,2016,UHF42,404,119,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,203,"5,327","Asthma ED Visits (adults), Number"
1197,2016,UHF42,209,402,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,206,668,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,208,"1,535","Asthma ED Visits (adults), Number"
1197,2016,UHF42,302,"3,761","Asthma ED Visits (adults), Number"
1197,2016,UHF42,306,687,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,210,"1,214","Asthma ED Visits (adults), Number"
1197,2016,UHF42,105,"3,901","Asthma ED Visits (adults), Number"
1197,2016,UHF42,202,"1,435","Asthma ED Visits (adults), Number"
1197,2016,UHF42,207,"2,885","Asthma ED Visits (adults), Number"
1197,2016,UHF42,303,"2,806","Asthma ED Visits (adults), Number"
1197,2016,UHF42,204,"2,840","Asthma ED Visits (adults), Number"
1197,2016,UHF42,403,511,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,103,"3,560","Asthma ED Visits (adults), Number"
1197,2016,UHF42,406,318,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,307,456,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,201,602,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,308,128,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,106,"4,507","Asthma ED Visits (adults), Number"
1197,2016,UHF42,107,"3,244","Asthma ED Visits (adults), Number"
1197,2016,UHF42,408,"2,151","Asthma ED Visits (adults), Number"
1197,2016,UHF42,101,559,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,401,"1,120","Asthma ED Visits (adults), Number"
1197,2016,UHF42,310,263,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,102,"2,231","Asthma ED Visits (adults), Number"
1197,2016,UHF42,104,"3,250","Asthma ED Visits (adults), Number"
1197,2016,UHF42,501,604,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,405,777,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,410,"1,032","Asthma ED Visits (adults), Number"
1197,2016,UHF42,504,415,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,409,937,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,407,"1,147","Asthma ED Visits (adults), Number"
1197,2016,UHF42,502,835,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,205,497,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,309,"1,348","Asthma ED Visits (adults), Number"
1197,2016,UHF42,305,340,"Asthma ED Visits (adults), Number"
1197,2016,UHF42,304,"1,159","Asthma ED Visits (adults), Number"
1197,2016,UHF42,301,"1,973","Asthma ED Visits (adults), Number"
1197,2016,UHF42,402,"1,558","Asthma ED Visits (adults), Number"
1197,2016,UHF42,211,"3,302","Asthma ED Visits (adults), Number"
1197,2016,UHF42,503,210,"Asthma ED Visits (adults), Number"
1198,2016,Citywide,1,98.1,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,Borough,1,193.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,Borough,2,101.7,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,Borough ,3,91.7,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,Borough,4,51.6,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,Borough,5,55.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,404,16.1,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,203,208.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,209,23.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,206,27.2,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,208,95.2,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,302,266.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,306,47.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,210,53.2,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,105,247.4,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,202,67.3,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,207,122.2,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,303,314.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,204,208.4,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,403,23.3,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,103,184.4,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,406,39.9,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,307,37.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,201,54.3,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,308,17.6,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,106,280.4,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,107,309.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,408,86.4,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,101,75,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,401,61.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,310,48.7,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,102,139.1,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,104,136.4,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,501,121.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,405,38.3,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,410,115.6,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,504,27,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,409,54.9,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,407,50.6,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,502,85.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,205,48.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,309,77.5,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,305,18.2,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,304,61.7,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,301,89.9,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,402,41,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,211,199.9,"Asthma ED Visits (adults), Estimated Annual Rate"
1198,2016,UHF42,503,29.7,"Asthma ED Visits (adults), Estimated Annual Rate"
1199,2016,Citywide,1,99.1,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,Borough,1,192.4,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,Borough,2,103.1,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,Borough ,3,95.5,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,Borough,4,52.3,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,Borough,5,59.1,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,404,16.7,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,203,209.2,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,209,23.7,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,206,27.5,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,208,98.6,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,302,269.4,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,306,51,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,210,56.9,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,105,244.1,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,202,77.2,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,207,123.7,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,303,317.4,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,204,205.5,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,403,24.6,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,103,182.1,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,406,40.6,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,307,43,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,201,65.8,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,308,17.9,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,106,275.3,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,107,309.1,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,408,88,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,101,78.3,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,401,68.9,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,310,60.6,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,102,145.7,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,104,136.8,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,501,121,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,405,40.5,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,410,119.9,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,504,29,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,409,57.7,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,407,50.4,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,502,90.5,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,205,49.8,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,309,81.1,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,305,20.3,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,304,64.2,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,301,90.4,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,402,41.2,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,211,206.8,"Asthma ED Visits (adults), Age-Adjusted Rate"
1199,2016,UHF42,503,32.1,"Asthma ED Visits (adults), Age-Adjusted Rate"
